0,,-8_-24_32,no area,City,FALSE,4,35414,3541,35,76,85,0.002,0.001,0,0,1000,0.1,no owner,no controller,57,19,60
1,,-7_-24_31,no area,Ocean,FALSE,14,155160,15516,34,45,68,0.002,0.001,0,0,1000,0.1,no owner,no controller,42,15,56
2,,-6_-24_30,no area,Hill,TRUE,13,108389,10838,33,29,76,0.002,0.001,0,0,1000,0.1,no owner,no controller,26,95,95
3,,-5_-24_29,no area,Plain,TRUE,8,159699,15969,15,26,66,0.002,0.001,0,0,1000,0.1,no owner,no controller,33,20,21
4,,-4_-24_28,no area,Coast,FALSE,6,295222,29522,84,18,70,0.002,0.001,0,0,1000,0.1,no owner,no controller,4,50,74
5,,-3_-24_27,no area,Plain,TRUE,8,69747,6974,52,83,12,0.002,0.001,0,0,1000,0.1,no owner,no controller,63,38,43
6,,-2_-24_26,no area,Hill,FALSE,12,66983,6698,65,22,89,0.002,0.001,0,0,1000,0.1,no owner,no controller,90,94,5
7,,-1_-24_25,no area,Hill,TRUE,13,307775,30777,59,98,41,0.002,0.001,0,0,1000,0.1,no owner,no controller,47,41,4
8,,0_-24_24,no area,Plain,FALSE,8,241569,24156,55,28,99,0.002,0.001,0,0,1000,0.1,no owner,no controller,33,100,66
9,,1_-24_23,no area,Plain,FALSE,8,391420,39142,96,67,90,0.002,0.001,0,0,1000,0.1,no owner,no controller,31,74,45
10,,2_-24_22,no area,Desert,FALSE,16,151473,15147,15,50,67,0.002,0.001,0,0,1000,0.1,no owner,no controller,33,63,44
11,,3_-24_21,no area,Plain,FALSE,8,133165,13316,21,69,26,0.002,0.001,0,0,1000,0.1,no owner,no controller,28,93,25
12,,4_-24_20,no area,Plain,FALSE,8,44587,4458,6,36,73,0.002,0.001,0,0,1000,0.1,no owner,no controller,3,69,95
13,,5_-24_19,no area,Coast,TRUE,6,385335,38533,53,38,35,0.002,0.001,0,0,1000,0.1,no owner,no controller,4,24,32
14,,6_-24_18,no area,Mountainous,TRUE,11,131617,13161,86,30,15,0.002,0.001,0,0,1000,0.1,no owner,no controller,41,55,54
15,,7_-24_17,no area,Coast,FALSE,6,122523,12252,96,13,78,0.002,0.001,0,0,1000,0.1,no owner,no controller,31,7,32
16,,8_-24_16,no area,Desert,TRUE,17,335786,33578,43,55,54,0.002,0.001,0,0,1000,0.1,no owner,no controller,69,54,33
17,,9_-24_15,no area,City,FALSE,4,294267,29426,96,96,17,0.002,0.001,0,0,1000,0.1,no owner,no controller,21,95,9
18,,10_-24_14,no area,City,FALSE,4,212072,21207,18,76,49,0.002,0.001,0,0,1000,0.1,no owner,no controller,26,84,63
19,,11_-24_13,no area,Desert,FALSE,16,498930,49893,48,8,97,0.002,0.001,0,0,1000,0.1,no owner,no controller,34,16,34
20,,12_-24_12,no area,Ocean,FALSE,14,25602,2560,66,76,94,0.002,0.001,0,0,1000,0.1,no owner,no controller,83,65,6
21,,13_-24_11,no area,Plain,FALSE,8,401565,40156,99,6,28,0.002,0.001,0,0,1000,0.1,no owner,no controller,15,36,48
22,,14_-24_10,no area,City,FALSE,4,248897,24889,90,94,40,0.002,0.001,0,0,1000,0.1,no owner,no controller,4,70,29
23,,15_-24_9,no area,Ocean,TRUE,15,14666,1466,66,91,35,0.002,0.001,0,0,1000,0.1,no owner,no controller,78,93,82
24,,16_-24_8,no area,Hill,TRUE,13,220824,22082,58,2,68,0.002,0.001,0,0,1000,0.1,no owner,no controller,7,76,28
25,,17_-24_7,no area,Mountainous,TRUE,11,74209,7420,49,68,60,0.002,0.001,0,0,1000,0.1,no owner,no controller,81,92,82
26,,18_-24_6,no area,Coast,FALSE,6,70345,7034,8,16,25,0.002,0.001,0,0,1000,0.1,no owner,no controller,87,59,98
27,,19_-24_5,no area,Ocean,FALSE,14,204810,20481,88,20,64,0.002,0.001,0,0,1000,0.1,no owner,no controller,40,54,29
28,,20_-24_4,no area,Desert,FALSE,16,233523,23352,71,23,26,0.002,0.001,0,0,1000,0.1,no owner,no controller,69,93,57
29,,21_-24_3,no area,Hill,TRUE,13,252667,25266,43,18,84,0.002,0.001,0,0,1000,0.1,no owner,no controller,45,22,16
30,,22_-24_2,no area,Plain,TRUE,8,486976,48697,30,44,30,0.002,0.001,0,0,1000,0.1,no owner,no controller,5,26,8
31,,23_-24_1,no area,Coast,FALSE,6,113981,11398,79,66,56,0.002,0.001,0,0,1000,0.1,no owner,no controller,34,34,42
32,,24_-24_0,no area,Ocean,TRUE,15,164418,16441,96,82,42,0.002,0.001,0,0,1000,0.1,no owner,no controller,58,56,87
33,,25_-24_-1,no area,Plain,TRUE,8,43832,4383,80,16,98,0.002,0.001,0,0,1000,0.1,no owner,no controller,43,50,12
34,,26_-24_-2,no area,Ocean,TRUE,15,442528,44252,75,97,9,0.002,0.001,0,0,1000,0.1,no owner,no controller,71,24,33
35,,27_-24_-3,no area,Coast,FALSE,6,270500,27050,16,40,49,0.002,0.001,0,0,1000,0.1,no owner,no controller,10,66,68
36,,28_-24_-4,no area,Coast,TRUE,6,223808,22380,39,24,34,0.002,0.001,0,0,1000,0.1,no owner,no controller,9,54,96
37,,29_-24_-5,no area,Hill,FALSE,12,183575,18357,24,33,56,0.002,0.001,0,0,1000,0.1,no owner,no controller,7,9,80
38,,30_-24_-6,no area,Plain,TRUE,8,14434,1443,13,7,14,0.002,0.001,0,0,1000,0.1,no owner,no controller,48,50,25
39,,31_-24_-7,no area,Coast,TRUE,6,34653,3465,21,27,96,0.002,0.001,0,0,1000,0.1,no owner,no controller,58,77,95
40,,32_-24_-8,no area,City,TRUE,4,20655,2065,2,98,95,0.002,0.001,0,0,1000,0.1,no owner,no controller,8,43,45
41,,33_-24_-9,no area,Desert,TRUE,17,110181,11018,71,62,12,0.002,0.001,0,0,1000,0.1,no owner,no controller,6,81,84
42,,-9_-23_32,no area,Hill,TRUE,13,361425,36142,86,21,68,0.002,0.001,0,0,1000,0.1,no owner,no controller,48,51,19
43,,-8_-23_31,no area,Mountainous,FALSE,10,456090,45609,35,29,26,0.002,0.001,0,0,1000,0.1,no owner,no controller,19,86,4
44,,-7_-23_30,no area,Mountainous,TRUE,11,431920,43192,53,59,76,0.002,0.001,0,0,1000,0.1,no owner,no controller,23,88,47
45,,-6_-23_29,no area,Coast,FALSE,6,414737,41473,28,59,24,0.002,0.001,0,0,1000,0.1,no owner,no controller,2,85,71
46,,-5_-23_28,no area,Plain,TRUE,8,260167,26016,100,1,67,0.002,0.001,0,0,1000,0.1,no owner,no controller,49,40,74
47,,-4_-23_27,no area,Hill,TRUE,13,158674,15867,6,45,37,0.002,0.001,0,0,1000,0.1,no owner,no controller,1,52,84
48,,-3_-23_26,no area,Coast,FALSE,6,111653,11165,51,63,96,0.002,0.001,0,0,1000,0.1,no owner,no controller,9,80,48
49,,-2_-23_25,no area,Mountainous,FALSE,10,499840,49984,46,79,85,0.002,0.001,0,0,1000,0.1,no owner,no controller,1,21,7
50,,-1_-23_24,no area,Plain,TRUE,8,30170,3017,29,95,91,0.002,0.001,0,0,1000,0.1,no owner,no controller,87,37,32
51,,0_-23_23,no area,Ocean,TRUE,15,40964,4096,59,38,60,0.002,0.001,0,0,1000,0.1,no owner,no controller,4,87,6
52,,1_-23_22,no area,Mountainous,FALSE,10,71687,7168,35,92,72,0.002,0.001,0,0,1000,0.1,no owner,no controller,32,99,78
53,,2_-23_21,no area,Hill,FALSE,12,108045,10804,1,33,51,0.002,0.001,0,0,1000,0.1,no owner,no controller,12,62,27
54,,3_-23_20,no area,Desert,TRUE,17,301387,30138,68,98,63,0.002,0.001,0,0,1000,0.1,no owner,no controller,82,28,77
